Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Month,Boardings
325,Mangere Town Ctr To Manukau Station Via Otahuhu & Otara,Connector,17 - 27,15 - 24,South,Jul 2025,12.0
326,Mangere Town Centre To Otahuhu Station Via Tidal Road,Local,07 - 17,06 - 15,South,Jul 2025,9.7
33,Papakura Interchange To Otahuhu Station Via Great South Rd,Frequent,17 - 27,15 - 24,South,Jul 2025,24.1
35,Ormiston To Botany Via Chapel Rd,Frequent,17 - 27,15 - 24,South,Jul 2025,22.1
351,Botany To Otahuhu Station Via Highbrook,Weekday Connector,07 - 17,06 - 15,South,Jul 2025,7.8
352,Manukau Bus Station To Panmure Via East Tamaki,Peak,07 - 17,06 - 15,South,Jul 2025,7.6
353,Manukau Bus Station To Botany Town Centre Via Preston Rd,Connector,07 - 17,06 - 15,South,Jul 2025,9.5
355,Ormiston To Botany Via Mission Heights,Connector,17 - 27,15 - 24,South,Jul 2025,19.1
36,Manukau to Onehunga via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Jul 2025,13.5
361,Manurewa Interchange To Otara / Mit Via Mahia Rd,Connector,17 - 27,15 - 24,South,Jul 2025,14.3
362,Weymouth To Manukau Bus Station Via Great South Rd,Connector,17 - 27,15 - 24,South,Jul 2025,21.1
363,Manurewa Interchange To Wattle Downs Loop,Local,07 - 17,06 - 15,South,Jul 2025,16.4
365,Papakura Interchange To Manukau Bus Station Via Porchester,Connector,17 - 27,15 - 24,South,Jul 2025,16.4
366,Manurewa Interchange To Manukau Bus Station Via The Gardens,Connector,17 - 27,15 - 24,South,Jul 2025,12.2
372,Papakura Shops To Keri Hill Loop,Connector,17 - 27,15 - 24,South,Jul 2025,19.0
373,Red Hill To Papakura Shops,Local,07 - 17,06 - 15,South,Jul 2025,10.8
376,Papakura Shops To Auranga Dr Via Drury,Connector,07 - 17,06 - 15,South,Jul 2025,8.7
377,Pahurehure To Papakura Interchange,Connector,17 - 27,15 - 24,South,Jul 2025,4.2
378,Papakura Shops To Karaka Harbourside Loop And Karaka Lakes,Connector,07 - 17,06 - 15,South,Jul 2025,6.1
38,Airport To Onehunga Via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Jul 2025,8.6
391,Pukekohe Northeast Loop,Connector,07 - 17,06 - 15,South,Jul 2025,5.7
392,Pukekohe Northwest Loop,Connector,07 - 17,06 - 15,South,Jul 2025,11.0
393,Pukekohe South Loop,Connector,07 - 17,06 - 15,South,Jul 2025,4.5
394,Pukekohe Station To Papakura Station Via Paerata Rise,Connector,07 - 17,06 - 15,South,Jul 2025,5.6
395,Waiuku To Papakura Interchange,Peak,07 - 17,06 - 15,South,Jul 2025,6.7
396,Waiuku To Pukekohe Interchange Via Kitchener Rd And Patumaho,Rural Township,07 - 17,06 - 15,South,Jul 2025,8.1
399,Port Waikato To Pukekohe Interchange Via Tuakau,Rural Township,,,South,Jul 2025,2.8
501,Kennedy Point to Matiatia Wharf,Local,07 - 17,06 - 15,Waiheke Island,Jul 2025,12.4
502,Rocky Bay to Matiatia Wharf,Connector,07 - 17,06 - 15,Waiheke Island,Jul 2025,10.7
503,Matiatia Wharf To Oneroa,Local,17 - 27,15 - 24,Waiheke Island,Jul 2025,
50A,Onetangi (Seventh Ave) To Matiatia Wharf,Frequent,17 - 27,15 - 24,Waiheke Island,Jul 2025,15.6
50B,Onetangi (Fourth Ave) to Matiatia Wharf,Frequent,07 - 17,06 - 15,Waiheke Island,Jul 2025,16.5
64,Newmarket To Kingsland Via Mt Eden And Valley Rd,Frequent,,,Central,Jul 2025,23.1
65,Pt Chevalier To Glen Innes,Frequent,17 - 27,15 - 24,Central,Jul 2025,16.9
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Jul 2025,20.7
67A,New Lynn To Otahuhu Via Onehunga,Frequent,17 - 27,15 - 24,Central,Jul 2025,13.1
67B,New Lynn To Onehunga Only,Frequent,07 - 17,06 - 15,Central,Jul 2025,15.3
68,New Lynn To Onehunga Station,Frequent,17 - 27,15 - 24,Central,Jul 2025,20.0
70,Botany To Britomart Via Panmure,Frequent,37 - 47,33 - 42,East,Jul 2025,41.5
70H,Britomart To Howick And Botany Via Ellerslie And Panmure,Night,,,East,Jul 2025,2.7
711,Howick To Panmure Via Cascades Road,Local,07 - 17,06 - 15,East,Jul 2025,17.7
712,Bucklands Beach To Panmure,Connector,17 - 27,15 - 24,East,Jul 2025,24.1
72C,"Botany And Howick To Panmure Via Chapel Rd, Cook St, And Pak",Frequent,27 - 37,24 - 33,East,Jul 2025,29.5
72M,"Botany and Howick to Panmure via Millhouse Dr, Meadowland Dr",Frequent,27 - 37,24 - 33,East,Jul 2025,29.7
72X,Botany And Howick To Britomart Express Via Panmure And Motor,Peak,37 - 47,33 - 42,East,Jul 2025,29.2
733,Botany To The Parade Via Highland Park,Local,07 - 17,06 - 15,East,Jul 2025,23.4
734,Botany To Half Moon Bay Via Highland Park,Local,07 - 17,06 - 15,East,Jul 2025,19.9
735,Botany To Half Moon Bay Via Cockle Bay And Howick,Local,07 - 17,06 - 15,East,Jul 2025,17.4
738,Maraetai to Pine Harbour via Beachlands,Local,07 - 17,06 - 15,East,Jul 2025,
739,Maraetai And Beachlands To Botany Via Whitford And Ormiston,Local,07 - 17,06 - 15,East,Jul 2025,11.1
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Jul 2025,17.4
744,Panmure To St Heliers Via Glen Innes,Connector,17 - 27,15 - 24,Central,Jul 2025,16.0
747,Panmure To Glen Innes Via Stonefields,Connector,17 - 27,15 - 24,Central,Jul 2025,14.4
75,Glen Innes To Wynyard Quarter Via Remuera Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,36.8
751,Panmure To Newmarket Via Marua Rd And Remuera Rd,Local,17 - 27,15 - 24,Central,Jul 2025,20.1
755,Benson Rd To Britomart Via Portland Rd,Connector,17 - 27,15 - 24,Central,Jul 2025,18.9
76,Glen Innes To Britomart Via Orakei,Frequent,17 - 27,15 - 24,Central,Jul 2025,22.2
774,West Tamaki Rd To Britomart Via Long Dr And Tamaki Dr,Peak,27 - 37,24 - 33,Central,Jul 2025,22.2
775,Glendowie To Britomart Via Tamaki Dr,Peak,27 - 37,24 - 33,Central,Jul 2025,21.8
781,Mission Bay To Museum Via Orakei,Connector,17 - 27,15 - 24,Central,Jul 2025,16.8
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Jul 2025,15.2
783,Eastern Bays Circuit Clockwise,Local,07 - 17,06 - 15,Central,Jul 2025,6.2
801,Bayswater Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Jul 2025,17.1
802,Bayswater To City (Mayoral Dr),Peak,27 - 37,24 - 33,North,Jul 2025,34.7
805,Devonport Wharf To Belmont Shops Via Ngataringa Rd,Local,07 - 17,06 - 15,North,Jul 2025,6.9
806,Devonport Wharf To Stanley Pt Loop,Connector,07 - 17,06 - 15,North,Jul 2025,13.4
807,Devonport Wharf To Cheltenham Loop,Connector,07 - 17,06 - 15,North,Jul 2025,16.3
814,Devonport Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Jul 2025,32.6
82,Milford To Mayoral Dr Via Takapuna,Frequent,27 - 37,24 - 33,North,Jul 2025,23.9
83,Massey University To Takapuna Via Browns Bay,Frequent,17 - 27,15 - 24,North,Jul 2025,27.4
842,Crown Hill To Smales Farm Station Via East Coast Rd,Peak,27 - 37,24 - 33,North,Jul 2025,51.1
843,Constellation Station To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Jul 2025,18.4
845,Milford To Takapuna Via North Shore Hospital,Local,07 - 17,06 - 15,North,Jul 2025,16.8
856,Albany Station To Takapuna Via Beach Rd And Milford,Connector,17 - 27,15 - 24,North,Jul 2025,19.4
861,Long Bay To Constellation Station Via Bush Rd,Connector,17 - 27,15 - 24,North,Jul 2025,22.7
865,Browns Bay To Albany Station Via Oaktree Ave,Connector,17 - 27,15 - 24,North,Jul 2025,18.2
866,Albany Stn To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Jul 2025,33.3
871,Constellation Station To Takapuna Via Forrest Hill Rd,Connector,17 - 27,15 - 24,North,Jul 2025,30.3
878,Browns Bay To Constellation Station Via and East Coast Rd,Connector,17 - 27,15 - 24,North,Jul 2025,23.1
883,Schnapper Rock To Constellation Station,Connector,07 - 17,06 - 15,North,Jul 2025,20.5
884,Constellation Station To NHIE Loop Anticlockwise,Weekday Connector,07 - 17,06 - 15,North,Jul 2025,19.2
885,Constellation Station To NHIE Loop Clockwise,Weekday Connector,07 - 17,06 - 15,North,Jul 2025,16.5
888,Albany Heights Loop,Connector,07 - 17,06 - 15,North,Jul 2025,18.4
889,Albany Station To Constellation Station Via Hugh Green Dr,Connector,07 - 17,06 - 15,North,Jul 2025,21.6
901,Smales Farm To Constellation Station Via Wairau Rd,Connector,07 - 17,06 - 15,North,Jul 2025,25.3
902,Kyle Road To Constellation Station,Connector,07 - 17,06 - 15,North,Jul 2025,13.6
906,Constellation To Smales Farm Via Windy Ridge And Archers Rd,Local,07 - 17,06 - 15,North,Jul 2025,20.2
907,Campbells Bay To Constellation Station Via Sunnynook Station,Local,07 - 17,06 - 15,North,Jul 2025,13.9
917,Birkenhead Wharf To Albany Station Via Glenfield Rd,Connector,17 - 27,15 - 24,North,Jul 2025,21.1
923,Akoranga Station To City (Mayoral Dr) Via Hillcrest,Connector,17 - 27,15 - 24,North,Jul 2025,17.5
924,Hillcrest To City (Mayoral Dr),Peak,17 - 27,15 - 24,North,Jul 2025,26.9
926,Glenfield To Akoranga Station Via Hillcrest West,Connector,07 - 17,06 - 15,North,Jul 2025,23.2
928,Northcote Point To Smales Farm Stn Via North Shore Hospital,Local,07 - 17,06 - 15,North,Jul 2025,10.6
931,Chatswood To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Jul 2025,20.9
933,Beach Haven Wharf To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Jul 2025,21.4
939,Windy Ridge To University of Auckland Via Customs St,Peak,27 - 37,24 - 33,North,Jul 2025,31.0
94,Beach Haven To Takapuna via Highbury And Northcote Shops,Frequent,17 - 27,15 - 24,North,Jul 2025,25.8
941,Beach Haven To Takapuna Via Glenfield And Smales Farm Stn,Connector,17 - 27,15 - 24,North,Jul 2025,27.1
95B,Bayview To Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Jul 2025,31.8
95C,Constellation Station To Britomart (Albert St) Via Glenfield,Frequent,27 - 37,24 - 33,North,Jul 2025,33.0
966,Beach Haven To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Jul 2025,19.1
97B,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Jul 2025,30.7
97R,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Jul 2025,27.8
981,Waiwera To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Jul 2025,17.1
982,Gulf Harbour To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Jul 2025,17.0
983,Gulf Harbour To Hibiscus Coast Station Via Vipond Rd,Local,07 - 17,06 - 15,North,Jul 2025,10.5
984,Orewa To Hibiscus Coast Station Via Maygrove,Local,07 - 17,06 - 15,North,Jul 2025,9.7
985,Orewa To Hibiscus Coast Station Via Millwater,Connector,07 - 17,06 - 15,North,Jul 2025,19.6
986,Hibiscus Coast Station To Albany Station Via Dariy Flat,Local,07 - 17,06 - 15,North,Jul 2025,12.2
988,Gulf Harbour Ferry To The Plaza Via Army Bay,Local,07 - 17,06 - 15,North,Jul 2025,5.5
989,Hibiscus Coast Station To Milldale Loop,Connector,07 - 17,06 - 15,North,Jul 2025,17.4
995,Warkworth To Hibiscus Coast Station,Rural Township,07 - 17,06 - 15,North,Jul 2025,8.6
996,Algies Bay To Warkworth Via Snells Beach,Rural Township,07 - 17,06 - 15,North,Jul 2025,8.3
997,Warkworth To Omaha Via Matakana And Pt Wells,Rural Township,07 - 17,06 - 15,North,Jul 2025,4.0
998,Wellsford To Warkworth,Rural Township,07 - 17,06 - 15,North,Jul 2025,7.8
999,Warkworth Loop,Local,,,North,Jul 2025,4.1
AIR,Airport Link Via Puhinui Station,Rapid,17 - 27,15 - 24,South,Jul 2025,13.3
CTY,Wynyard Quarter to Karangahape Rd via Queen St,Frequent,27 - 37,24 - 33,Central,Jul 2025,30.4
INN,Inner Link Anticlockwise,Frequent,27 - 37,24 - 33,Central,Jul 2025,23.9
N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",Night,,,South,Jul 2025,2.4
NX1,Albany Station To Britomart (Lower Albert St),Rapid,37 - 47,33 - 42,North,Jul 2025,77.0
NX2,Hibiscus Coast Station To Auckland Universities,Rapid,37 - 47,33 - 42,North,Jul 2025,53.3
OUT,St Lukes To Newmarket Via Wellesley St,Frequent,27 - 37,24 - 33,Central,Jul 2025,18.2
QODTAK,AT Local,On Demand,,,South,Jul 2025,2.7
TMK,Glen Innes To Britomart Via St Heliers And Tamaki Dr,Frequent,27 - 37,24 - 33,Central,Jul 2025,21.3
WX1,Northwest To City Centre Via Motorway,Rapid,17 - 27,15 - 24,West,Jul 2025,23.7
101,Pt Chevalier To Auckland University Via Jervois Rd,Peak,27 - 37,24 - 33,Central,Aug 2025,29.9
105,Westmere To Britomart Via Richmond Rd,Connector,17 - 27,15 - 24,Central,Aug 2025,25.5
106,Freemans Bay Loop,Connector,07 - 17,06 - 15,Central,Aug 2025,24.6
111,Royal Heights Loop,Local,07 - 17,06 - 15,West,Aug 2025,17.1
112,Hob Pt Wharf To Northwest Via W Harbour,Connector,07 - 17,06 - 15,West,Aug 2025,16.3
114,Hob Pt Wharf To Northwest Via Whenuapai,Local,07 - 17,06 - 15,West,Aug 2025,8.6
116,West Hills Loop,Local,07 - 17,06 - 15,West,Aug 2025,3.5
11T,Northwest To City Centre Via Triangle Rd,Frequent,17 - 27,15 - 24,West,Aug 2025,20.4
11W,Northwest To City Centre Via Waimumu Rd,Frequent,17 - 27,15 - 24,West,Aug 2025,17.5
12,Henderson to Constellation Station via Westgate,Frequent,17 - 27,15 - 24,West,Aug 2025,27.1
122,Huapai North To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Aug 2025,6.2
123,Huapai Triangle To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Aug 2025,6.9
125,Helensville To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Aug 2025,10.2
126,Albany To Westgate Via Riverhead,Rural Township,07 - 17,06 - 15,West,Aug 2025,14.9
128,Hibiscus Coast Station To Helensville,Rural Township,07 - 17,06 - 15,West,Aug 2025,5.7
13,Te Atatu Peninsula Loop To Henderson,Frequent,17 - 27,15 - 24,West,Aug 2025,23.5
135,Te Atatu (Totara Rd) To Henderson,Connector,07 - 17,06 - 15,West,Aug 2025,16.9
14,Lincoln Rd To New Lynn Via Henderson,Frequent,17 - 27,15 - 24,West,Aug 2025,27.0
143,Ranui to Henderson via Sturges Rd,Connector,07 - 17,06 - 15,West,Aug 2025,18.7
145,Lincoln Rd To Henderson Via Western H,Connector,07 - 17,06 - 15,West,Aug 2025,15.0
147,Waitakere Township To Henderson,Local,07 - 17,06 - 15,West,Aug 2025,12.2
148,Ranui To Lincoln Rd,Local,07 - 17,06 - 15,West,Aug 2025,3.6
149,Ranui To New Lynn Via Rosebank,Weekday Connector,17 - 27,15 - 24,West,Aug 2025,20.0
152,Henderson to New Lynn via Sunnyvale and Glen Eden,Local,07 - 17,06 - 15,West,Aug 2025,20.9
154,Henderson to New Lynn via Glen Eden,Connector,17 - 27,15 - 24,West,Aug 2025,25.8
161,Brains Park to New Lynn,Local,07 - 17,06 - 15,West,Aug 2025,23.1
162,Henderson to New Lynn via Glendene,Connector,17 - 27,15 - 24,West,Aug 2025,25.7
170,Titirangi South to New Lynn,Local,07 - 17,06 - 15,West,Aug 2025,10.7
171,Laingholm To New Lynn,Local,07 - 17,06 - 15,West,Aug 2025,15.9
172,Glen Eden to New Lynn via Titirangi,Connector,07 - 17,06 - 15,West,Aug 2025,21.7
18,New Lynn To City Centre Via Great North Rd,Frequent,27 - 37,24 - 33,Central,Aug 2025,30.6
186,South Lynn Loop,Connector,17 - 27,15 - 24,West,Aug 2025,35.9
191,Lynfield To New Lynn Via Blockhouse Bay And Avondale,Local,07 - 17,06 - 15,Central,Aug 2025,15.6
195,New Lynn To City Centre Via Green Bay,Connector,17 - 27,15 - 24,West,Aug 2025,23.3
20,St Lukes To Wynyard Quarter Via Kingsland,Frequent,17 - 27,15 - 24,Central,Aug 2025,21.1
209,Titirangi to City Centre via Green Bay and New North Rd,Peak,27 - 37,24 - 33,West,Aug 2025,31.6
22N,New Lynn To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Aug 2025,29.3
22R,Rosebank Rd To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Aug 2025,28.7
24B,New Lynn And Blockhouse Bay To City Centre Via Sandringham R,Frequent,27 - 37,24 - 33,Central,Aug 2025,27.4
24R,New Lynn To City Centre Via Sandingham Rd,Frequent,27 - 37,24 - 33,Central,Aug 2025,28.2
252,Lynfield To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Aug 2025,66.3
253,Blockhouse Bay To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Aug 2025,60.0
25B,Blockhouse Bay To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Aug 2025,36.6
25L,Lynfield To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Aug 2025,33.2
27H,Waikowhai To Britomart Via Hillsborough Rd And Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Aug 2025,45.0
27T,Three Kings To Britomart Via Mt Eden Rd,Peak,37 - 47,33 - 42,Central,Aug 2025,63.4
27W,Waikowhai To Britomart Via Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Aug 2025,50.4
295,Ellerslie Station To City Centre Via Royal Oak,Connector,17 - 27,15 - 24,Central,Aug 2025,18.2
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Aug 2025,19.6
30,Onehunga To City Centre Via Manukau Rd,Frequent,27 - 37,24 - 33,Central,Aug 2025,44.3
309,Mangere Town Centre To City Centre,Connector,17 - 27,15 - 24,South,Aug 2025,22.5
309X,Mangere Town Centre To City Centre (Express),Peak,27 - 37,24 - 33,South,Aug 2025,25.1
31,Mangere Town Centre To Botany Town Centre Via Otara,Frequent,17 - 27,15 - 24,South,Aug 2025,16.3
311,Otahuhu Station to Otahuhu Station via Mangere Bridge,Connector,17 - 27,15 - 24,South,Aug 2025,
313,Mangere To Manukau Bus Station Via Papatoetoe,Connector,17 - 27,15 - 24,South,Aug 2025,12.8
314,Ormiston To Middlemore Station Via Otara,Connector,17 - 27,15 - 24,South,Aug 2025,22.7
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Aug 2025,18.4
321,Middlemore Station To Britomart Via Greenlane Hospital,Local,17 - 27,15 - 24,Central,Aug 2025,19.3
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Aug 2025,17.9
324,Mangere Town Centre To Seaside Park Via Otahuhu,Local,07 - 17,06 - 15,South,Aug 2025,18.9
325,Mangere Town Ctr To Manukau Station Via Otahuhu & Otara,Connector,17 - 27,15 - 24,South,Aug 2025,15.2
326,Mangere Town Centre To Otahuhu Station Via Tidal Road,Local,07 - 17,06 - 15,South,Aug 2025,13.0
33,Papakura Interchange To Otahuhu Station Via Great South Rd,Frequent,17 - 27,15 - 24,South,Aug 2025,24.6
35,Ormiston To Botany Via Chapel Rd,Frequent,17 - 27,15 - 24,South,Aug 2025,25.9
351,Botany To Otahuhu Station Via Highbrook,Weekday Connector,07 - 17,06 - 15,South,Aug 2025,9.1
352,Manukau Bus Station To Panmure Via East Tamaki,Peak,07 - 17,06 - 15,South,Aug 2025,8.5
353,Manukau Bus Station To Botany Town Centre Via Preston Rd,Connector,07 - 17,06 - 15,South,Aug 2025,10.6
355,Ormiston To Botany Via Mission Heights,Connector,17 - 27,15 - 24,South,Aug 2025,22.1
36,Manukau to Onehunga via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Aug 2025,15.8
361,Manurewa Interchange To Otara / Mit Via Mahia Rd,Connector,17 - 27,15 - 24,South,Aug 2025,16.8
362,Weymouth To Manukau Bus Station Via Great South Rd,Connector,17 - 27,15 - 24,South,Aug 2025,23.4
363,Manurewa Interchange To Wattle Downs Loop,Local,07 - 17,06 - 15,South,Aug 2025,20.7
365,Papakura Interchange To Manukau Bus Station Via Porchester,Connector,17 - 27,15 - 24,South,Aug 2025,17.7
366,Manurewa Interchange To Manukau Bus Station Via The Gardens,Connector,17 - 27,15 - 24,South,Aug 2025,14.8
372,Papakura Shops To Keri Hill Loop,Connector,17 - 27,15 - 24,South,Aug 2025,22.4
373,Red Hill To Papakura Shops,Local,07 - 17,06 - 15,South,Aug 2025,12.4
376,Papakura Shops To Auranga Dr Via Drury,Connector,07 - 17,06 - 15,South,Aug 2025,9.4
377,Pahurehure To Papakura Interchange,Connector,17 - 27,15 - 24,South,Aug 2025,5.2
