Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Month,Boardings
939,Windy Ridge To University of Auckland Via Customs St,Peak,27 - 37,24 - 33,North,Sep 2025,33.4
94,Beach Haven To Takapuna via Highbury And Northcote Shops,Frequent,17 - 27,15 - 24,North,Sep 2025,27.9
941,Beach Haven To Takapuna Via Glenfield And Smales Farm Stn,Connector,17 - 27,15 - 24,North,Sep 2025,27.6
95B,Bayview To Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Sep 2025,32.9
95C,Constellation Station To Britomart (Albert St) Via Glenfield,Frequent,27 - 37,24 - 33,North,Sep 2025,30.3
966,Beach Haven To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Sep 2025,19.2
97B,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Sep 2025,30.6
97R,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Sep 2025,27.3
981,Waiwera To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Sep 2025,19.1
982,Gulf Harbour To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Sep 2025,18.6
983,Gulf Harbour To Hibiscus Coast Station Via Vipond Rd,Local,07 - 17,06 - 15,North,Sep 2025,12.0
984,Orewa To Hibiscus Coast Station Via Maygrove,Local,07 - 17,06 - 15,North,Sep 2025,11.0
985,Orewa To Hibiscus Coast Station Via Millwater,Connector,07 - 17,06 - 15,North,Sep 2025,22.0
986,Hibiscus Coast Station To Albany Station Via Dariy Flat,Local,07 - 17,06 - 15,North,Sep 2025,12.7
988,Gulf Harbour Ferry To The Plaza Via Army Bay,Local,07 - 17,06 - 15,North,Sep 2025,6.4
989,Hibiscus Coast Station To Milldale Loop,Connector,07 - 17,06 - 15,North,Sep 2025,19.1
995,Warkworth To Hibiscus Coast Station,Rural Township,07 - 17,06 - 15,North,Sep 2025,9.3
996,Algies Bay To Warkworth Via Snells Beach,Rural Township,07 - 17,06 - 15,North,Sep 2025,9.9
997,Warkworth To Omaha Via Matakana And Pt Wells,Rural Township,07 - 17,06 - 15,North,Sep 2025,4.9
998,Wellsford To Warkworth,Rural Township,07 - 17,06 - 15,North,Sep 2025,7.9
999,Warkworth Loop,Local,,,North,Sep 2025,5.1
AIR,Airport Link Via Puhinui Station,Rapid,17 - 27,15 - 24,South,Sep 2025,15.1
CTY,Wynyard Quarter to Karangahape Rd via Queen St,Frequent,27 - 37,24 - 33,Central,Sep 2025,29.9
INN,Inner Link Anticlockwise,Frequent,27 - 37,24 - 33,Central,Sep 2025,24.6
N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",Night,,,South,Sep 2025,2.9
NX1,Albany Station To Britomart (Lower Albert St),Rapid,37 - 47,33 - 42,North,Sep 2025,76.8
NX2,Hibiscus Coast Station To Auckland Universities,Rapid,37 - 47,33 - 42,North,Sep 2025,54.8
OUT,St Lukes To Newmarket Via Wellesley St,Frequent,27 - 37,24 - 33,Central,Sep 2025,19.3
QODTAK,AT Local,On Demand,,,South,Sep 2025,2.8
TMK,Glen Innes To Britomart Via St Heliers And Tamaki Dr,Frequent,27 - 37,24 - 33,Central,Sep 2025,22.5
WX1,Northwest To City Centre Via Motorway,Rapid,17 - 27,15 - 24,West,Sep 2025,26.3
101,Pt Chevalier To Auckland University Via Jervois Rd,Peak,27 - 37,24 - 33,Central,Oct 2025,26.5
105,Westmere To Britomart Via Richmond Rd,Connector,17 - 27,15 - 24,Central,Oct 2025,24.9
106,Freemans Bay Loop,Connector,07 - 17,06 - 15,Central,Oct 2025,20.9
111,Royal Heights Loop,Local,07 - 17,06 - 15,West,Oct 2025,15.8
112,Hob Pt Wharf To Northwest Via W Harbour,Connector,07 - 17,06 - 15,West,Oct 2025,16.9
114,Hob Pt Wharf To Northwest Via Whenuapai,Local,07 - 17,06 - 15,West,Oct 2025,8.4
116,West Hills Loop,Local,07 - 17,06 - 15,West,Oct 2025,3.3
11T,Northwest To City Centre Via Triangle Rd,Frequent,17 - 27,15 - 24,West,Oct 2025,19.4
11W,Northwest To City Centre Via Waimumu Rd,Frequent,17 - 27,15 - 24,West,Oct 2025,16.8
12,Henderson to Constellation Station via Westgate,Frequent,17 - 27,15 - 24,West,Oct 2025,26.2
122,Huapai North To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Oct 2025,6.8
123,Huapai Triangle To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Oct 2025,6.9
125,Helensville To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Oct 2025,9.7
126,Albany To Westgate Via Riverhead,Rural Township,07 - 17,06 - 15,West,Oct 2025,13.9
128,Hibiscus Coast Station To Helensville,Rural Township,07 - 17,06 - 15,West,Oct 2025,5.4
13,Te Atatu Peninsula Loop To Henderson,Frequent,17 - 27,15 - 24,West,Oct 2025,22.6
135,Te Atatu (Totara Rd) To Henderson,Connector,07 - 17,06 - 15,West,Oct 2025,16.1
14,Lincoln Rd To New Lynn Via Henderson,Frequent,17 - 27,15 - 24,West,Oct 2025,26.3
143,Ranui to Henderson via Sturges Rd,Connector,07 - 17,06 - 15,West,Oct 2025,18.2
145,Lincoln Rd To Henderson Via Western H,Connector,07 - 17,06 - 15,West,Oct 2025,14.6
147,Waitakere Township To Henderson,Local,07 - 17,06 - 15,West,Oct 2025,13.8
148,Ranui To Lincoln Rd,Local,07 - 17,06 - 15,West,Oct 2025,4.8
149,Ranui To New Lynn Via Rosebank,Weekday Connector,17 - 27,15 - 24,West,Oct 2025,18.6
152,Henderson to New Lynn via Sunnyvale and Glen Eden,Local,07 - 17,06 - 15,West,Oct 2025,20.4
154,Henderson to New Lynn via Glen Eden,Connector,17 - 27,15 - 24,West,Oct 2025,24.8
161,Brains Park to New Lynn,Local,07 - 17,06 - 15,West,Oct 2025,23.3
162,Henderson to New Lynn via Glendene,Connector,17 - 27,15 - 24,West,Oct 2025,22.5
170,Titirangi South to New Lynn,Local,07 - 17,06 - 15,West,Oct 2025,12.1
171,Laingholm To New Lynn,Local,07 - 17,06 - 15,West,Oct 2025,17.3
172,Glen Eden to New Lynn via Titirangi,Connector,07 - 17,06 - 15,West,Oct 2025,22.1
18,New Lynn To City Centre Via Great North Rd,Frequent,27 - 37,24 - 33,Central,Oct 2025,29.3
186,South Lynn Loop,Connector,17 - 27,15 - 24,West,Oct 2025,36.0
191,Lynfield To New Lynn Via Blockhouse Bay And Avondale,Local,07 - 17,06 - 15,Central,Oct 2025,15.6
195,New Lynn To City Centre Via Green Bay,Connector,17 - 27,15 - 24,West,Oct 2025,24.0
20,St Lukes To Wynyard Quarter Via Kingsland,Frequent,17 - 27,15 - 24,Central,Oct 2025,20.9
209,Titirangi to City Centre via Green Bay and New North Rd,Peak,27 - 37,24 - 33,West,Oct 2025,31.8
22N,New Lynn To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Oct 2025,29.3
22R,Rosebank Rd To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Oct 2025,27.7
24B,New Lynn And Blockhouse Bay To City Centre Via Sandringham R,Frequent,27 - 37,24 - 33,Central,Oct 2025,26.8
24R,New Lynn To City Centre Via Sandingham Rd,Frequent,27 - 37,24 - 33,Central,Oct 2025,27.5
252,Lynfield To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Oct 2025,59.2
253,Blockhouse Bay To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Oct 2025,58.2
25B,Blockhouse Bay To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Oct 2025,33.9
25L,Lynfield To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Oct 2025,31.9
27H,Waikowhai To Britomart Via Hillsborough Rd And Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Oct 2025,40.1
27T,Three Kings To Britomart Via Mt Eden Rd,Peak,37 - 47,33 - 42,Central,Oct 2025,57.2
27W,Waikowhai To Britomart Via Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Oct 2025,46.7
295,Ellerslie Station To City Centre Via Royal Oak,Connector,17 - 27,15 - 24,Central,Oct 2025,16.7
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Oct 2025,18.1
30,Onehunga To City Centre Via Manukau Rd,Frequent,27 - 37,24 - 33,Central,Oct 2025,41.8
309,Mangere Town Centre To City Centre,Connector,17 - 27,15 - 24,South,Oct 2025,20.6
309X,Mangere Town Centre To City Centre (Express),Peak,27 - 37,24 - 33,South,Oct 2025,22.2
31,Mangere Town Centre To Botany Town Centre Via Otara,Frequent,17 - 27,15 - 24,South,Oct 2025,15.8
311,Otahuhu Station to Otahuhu Station via Mangere Bridge,Connector,17 - 27,15 - 24,South,Oct 2025,
313,Mangere To Manukau Bus Station Via Papatoetoe,Connector,17 - 27,15 - 24,South,Oct 2025,12.5
314,Ormiston To Middlemore Station Via Otara,Connector,17 - 27,15 - 24,South,Oct 2025,21.8
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Oct 2025,18.0
321,Middlemore Station To Britomart Via Greenlane Hospital,Local,17 - 27,15 - 24,Central,Oct 2025,16.8
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Oct 2025,16.9
324,Mangere Town Centre To Seaside Park Via Otahuhu,Local,07 - 17,06 - 15,South,Oct 2025,16.6
325,Mangere Town Ctr To Manukau Station Via Otahuhu & Otara,Connector,17 - 27,15 - 24,South,Oct 2025,13.7
326,Mangere Town Centre To Otahuhu Station Via Tidal Road,Local,07 - 17,06 - 15,South,Oct 2025,11.6
33,Papakura Interchange To Otahuhu Station Via Great South Rd,Frequent,17 - 27,15 - 24,South,Oct 2025,24.8
35,Ormiston To Botany Via Chapel Rd,Frequent,17 - 27,15 - 24,South,Oct 2025,24.9
351,Botany To Otahuhu Station Via Highbrook,Weekday Connector,07 - 17,06 - 15,South,Oct 2025,8.3
352,Manukau Bus Station To Panmure Via East Tamaki,Peak,07 - 17,06 - 15,South,Oct 2025,8.0
353,Manukau Bus Station To Botany Town Centre Via Preston Rd,Connector,07 - 17,06 - 15,South,Oct 2025,10.0
355,Ormiston To Botany Via Mission Heights,Connector,17 - 27,15 - 24,South,Oct 2025,20.5
36,Manukau to Onehunga via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Oct 2025,15.1
361,Manurewa Interchange To Otara / Mit Via Mahia Rd,Connector,17 - 27,15 - 24,South,Oct 2025,15.9
362,Weymouth To Manukau Bus Station Via Great South Rd,Connector,17 - 27,15 - 24,South,Oct 2025,22.6
363,Manurewa Interchange To Wattle Downs Loop,Local,07 - 17,06 - 15,South,Oct 2025,19.9
365,Papakura Interchange To Manukau Bus Station Via Porchester,Connector,17 - 27,15 - 24,South,Oct 2025,17.8
366,Manurewa Interchange To Manukau Bus Station Via The Gardens,Connector,17 - 27,15 - 24,South,Oct 2025,14.3
372,Papakura Shops To Keri Hill Loop,Connector,17 - 27,15 - 24,South,Oct 2025,20.3
373,Red Hill To Papakura Shops,Local,07 - 17,06 - 15,South,Oct 2025,12.3
376,Papakura Shops To Auranga Dr Via Drury,Connector,07 - 17,06 - 15,South,Oct 2025,9.0
377,Pahurehure To Papakura Interchange,Connector,17 - 27,15 - 24,South,Oct 2025,4.4
378,Papakura Shops To Karaka Harbourside Loop And Karaka Lakes,Connector,07 - 17,06 - 15,South,Oct 2025,6.8
38,Airport To Onehunga Via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Oct 2025,9.5
391,Pukekohe Northeast Loop,Connector,07 - 17,06 - 15,South,Oct 2025,7.1
392,Pukekohe Northwest Loop,Connector,07 - 17,06 - 15,South,Oct 2025,13.2
393,Pukekohe South Loop,Connector,07 - 17,06 - 15,South,Oct 2025,6.2
394,Pukekohe Station To Papakura Station Via Paerata Rise,Connector,07 - 17,06 - 15,South,Oct 2025,6.8
395,Waiuku To Papakura Interchange,Peak,07 - 17,06 - 15,South,Oct 2025,7.1
396,Waiuku To Pukekohe Interchange Via Kitchener Rd And Patumaho,Rural Township,07 - 17,06 - 15,South,Oct 2025,9.6
399,Port Waikato To Pukekohe Interchange Via Tuakau,Rural Township,,,South,Oct 2025,2.7
501,Kennedy Point to Matiatia Wharf,Local,07 - 17,06 - 15,Waiheke Island,Oct 2025,15.8
502,Rocky Bay to Matiatia Wharf,Connector,07 - 17,06 - 15,Waiheke Island,Oct 2025,14.8
503,Matiatia Wharf To Oneroa,Local,17 - 27,15 - 24,Waiheke Island,Oct 2025,42.5
50A,Onetangi (Seventh Ave) To Matiatia Wharf,Frequent,17 - 27,15 - 24,Waiheke Island,Oct 2025,20.4
50B,Onetangi (Fourth Ave) to Matiatia Wharf,Frequent,07 - 17,06 - 15,Waiheke Island,Oct 2025,19.1
64,Newmarket To Kingsland Via Mt Eden And Valley Rd,Frequent,,,Central,Oct 2025,24.2
65,Pt Chevalier To Glen Innes,Frequent,17 - 27,15 - 24,Central,Oct 2025,18.5
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Oct 2025,23.2
67A,New Lynn To Otahuhu Via Onehunga,Frequent,17 - 27,15 - 24,Central,Oct 2025,13.9
67B,New Lynn To Onehunga Only,Frequent,07 - 17,06 - 15,Central,Oct 2025,16.8
68,New Lynn To Onehunga Station,Frequent,17 - 27,15 - 24,Central,Oct 2025,21.4
70,Botany To Britomart Via Panmure,Frequent,37 - 47,33 - 42,East,Oct 2025,47.8
70H,Britomart To Howick And Botany Via Ellerslie And Panmure,Night,,,East,Oct 2025,3.2
711,Howick To Panmure Via Cascades Road,Local,07 - 17,06 - 15,East,Oct 2025,18.9
712,Bucklands Beach To Panmure,Connector,17 - 27,15 - 24,East,Oct 2025,28.2
72C,"Botany And Howick To Panmure Via Chapel Rd, Cook St, And Pak",Frequent,27 - 37,24 - 33,East,Oct 2025,31.5
72M,"Botany and Howick to Panmure via Millhouse Dr, Meadowland Dr",Frequent,27 - 37,24 - 33,East,Oct 2025,33.7
72X,Botany And Howick To Britomart Express Via Panmure And Motor,Peak,37 - 47,33 - 42,East,Oct 2025,35.3
733,Botany To The Parade Via Highland Park,Local,07 - 17,06 - 15,East,Oct 2025,25.7
734,Botany To Half Moon Bay Via Highland Park,Local,07 - 17,06 - 15,East,Oct 2025,22.2
735,Botany To Half Moon Bay Via Cockle Bay And Howick,Local,07 - 17,06 - 15,East,Oct 2025,19.0
738,Maraetai to Pine Harbour via Beachlands,Local,07 - 17,06 - 15,East,Oct 2025,
739,Maraetai And Beachlands To Botany Via Whitford And Ormiston,Local,07 - 17,06 - 15,East,Oct 2025,11.9
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Oct 2025,18.1
744,Panmure To St Heliers Via Glen Innes,Connector,17 - 27,15 - 24,Central,Oct 2025,19.4
747,Panmure To Glen Innes Via Stonefields,Connector,17 - 27,15 - 24,Central,Oct 2025,17.5
75,Glen Innes To Wynyard Quarter Via Remuera Rd,Frequent,27 - 37,24 - 33,Central,Oct 2025,38.4
751,Panmure To Newmarket Via Marua Rd And Remuera Rd,Local,17 - 27,15 - 24,Central,Oct 2025,21.6
755,Benson Rd To Britomart Via Portland Rd,Connector,17 - 27,15 - 24,Central,Oct 2025,21.7
76,Glen Innes To Britomart Via Orakei,Frequent,17 - 27,15 - 24,Central,Oct 2025,24.7
774,West Tamaki Rd To Britomart Via Long Dr And Tamaki Dr,Peak,27 - 37,24 - 33,Central,Oct 2025,24.1
775,Glendowie To Britomart Via Tamaki Dr,Peak,27 - 37,24 - 33,Central,Oct 2025,22.1
781,Mission Bay To Museum Via Orakei,Connector,17 - 27,15 - 24,Central,Oct 2025,19.1
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Oct 2025,17.8
783,Eastern Bays Circuit Clockwise,Local,07 - 17,06 - 15,Central,Oct 2025,6.4
801,Bayswater Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Oct 2025,19.1
802,Bayswater To City (Mayoral Dr),Peak,27 - 37,24 - 33,North,Oct 2025,35.5
805,Devonport Wharf To Belmont Shops Via Ngataringa Rd,Local,07 - 17,06 - 15,North,Oct 2025,7.3
806,Devonport Wharf To Stanley Pt Loop,Connector,07 - 17,06 - 15,North,Oct 2025,14.9
807,Devonport Wharf To Cheltenham Loop,Connector,07 - 17,06 - 15,North,Oct 2025,18.6
814,Devonport Wharf To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Oct 2025,35.3
82,Milford To Mayoral Dr Via Takapuna,Frequent,27 - 37,24 - 33,North,Oct 2025,25.2
83,Massey University To Takapuna Via Browns Bay,Frequent,17 - 27,15 - 24,North,Oct 2025,29.0
842,Crown Hill To Smales Farm Station Via East Coast Rd,Peak,27 - 37,24 - 33,North,Oct 2025,53.4
843,Constellation Station To Akoranga Station Via Takapuna,Connector,17 - 27,15 - 24,North,Oct 2025,19.3
845,Milford To Takapuna Via North Shore Hospital,Local,07 - 17,06 - 15,North,Oct 2025,18.1
856,Albany Station To Takapuna Via Beach Rd And Milford,Connector,17 - 27,15 - 24,North,Oct 2025,21.8
861,Long Bay To Constellation Station Via Bush Rd,Connector,17 - 27,15 - 24,North,Oct 2025,24.0
865,Browns Bay To Albany Station Via Oaktree Ave,Connector,17 - 27,15 - 24,North,Oct 2025,20.4
866,Albany Stn To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Oct 2025,34.2
871,Constellation Station To Takapuna Via Forrest Hill Rd,Connector,17 - 27,15 - 24,North,Oct 2025,33.6
878,Browns Bay To Constellation Station Via and East Coast Rd,Connector,17 - 27,15 - 24,North,Oct 2025,26.3
883,Schnapper Rock To Constellation Station,Connector,07 - 17,06 - 15,North,Oct 2025,23.0
884,Constellation Station To NHIE Loop Anticlockwise,Weekday Connector,07 - 17,06 - 15,North,Oct 2025,21.6
885,Constellation Station To NHIE Loop Clockwise,Weekday Connector,07 - 17,06 - 15,North,Oct 2025,19.3
888,Albany Heights Loop,Connector,07 - 17,06 - 15,North,Oct 2025,21.6
889,Albany Station To Constellation Station Via Hugh Green Dr,Connector,07 - 17,06 - 15,North,Oct 2025,22.4
901,Smales Farm To Constellation Station Via Wairau Rd,Connector,07 - 17,06 - 15,North,Oct 2025,27.3
902,Kyle Road To Constellation Station,Connector,07 - 17,06 - 15,North,Oct 2025,14.9
906,Constellation To Smales Farm Via Windy Ridge And Archers Rd,Local,07 - 17,06 - 15,North,Oct 2025,22.0
907,Campbells Bay To Constellation Station Via Sunnynook Station,Local,07 - 17,06 - 15,North,Oct 2025,14.8
917,Birkenhead Wharf To Albany Station Via Glenfield Rd,Connector,17 - 27,15 - 24,North,Oct 2025,22.5
923,Akoranga Station To City (Mayoral Dr) Via Hillcrest,Connector,17 - 27,15 - 24,North,Oct 2025,17.7
924,Hillcrest To City (Mayoral Dr),Peak,17 - 27,15 - 24,North,Oct 2025,28.1
926,Glenfield To Akoranga Station Via Hillcrest West,Connector,07 - 17,06 - 15,North,Oct 2025,25.2
928,Northcote Point To Smales Farm Stn Via North Shore Hospital,Local,07 - 17,06 - 15,North,Oct 2025,12.0
931,Chatswood To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Oct 2025,23.8
933,Beach Haven Wharf To University Of Auckland Via Customs St,Local,17 - 27,15 - 24,North,Oct 2025,25.3
939,Windy Ridge To University of Auckland Via Customs St,Peak,27 - 37,24 - 33,North,Oct 2025,35.5
94,Beach Haven To Takapuna via Highbury And Northcote Shops,Frequent,17 - 27,15 - 24,North,Oct 2025,29.0
941,Beach Haven To Takapuna Via Glenfield And Smales Farm Stn,Connector,17 - 27,15 - 24,North,Oct 2025,29.2
95B,Bayview To Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Oct 2025,34.2
95C,Constellation Station To Britomart (Albert St) Via Glenfield,Frequent,27 - 37,24 - 33,North,Oct 2025,32.2
966,Beach Haven To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,Oct 2025,20.3
97B,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Oct 2025,31.9
97R,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,Oct 2025,29.1
981,Waiwera To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Oct 2025,20.1
982,Gulf Harbour To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,Oct 2025,18.8
983,Gulf Harbour To Hibiscus Coast Station Via Vipond Rd,Local,07 - 17,06 - 15,North,Oct 2025,12.2
984,Orewa To Hibiscus Coast Station Via Maygrove,Local,07 - 17,06 - 15,North,Oct 2025,11.6
985,Orewa To Hibiscus Coast Station Via Millwater,Connector,07 - 17,06 - 15,North,Oct 2025,23.2
986,Hibiscus Coast Station To Albany Station Via Dariy Flat,Local,07 - 17,06 - 15,North,Oct 2025,12.5
988,Gulf Harbour Ferry To The Plaza Via Army Bay,Local,07 - 17,06 - 15,North,Oct 2025,6.4
989,Hibiscus Coast Station To Milldale Loop,Connector,07 - 17,06 - 15,North,Oct 2025,21.2
995,Warkworth To Hibiscus Coast Station,Rural Township,07 - 17,06 - 15,North,Oct 2025,9.2
996,Algies Bay To Warkworth Via Snells Beach,Rural Township,07 - 17,06 - 15,North,Oct 2025,9.2
997,Warkworth To Omaha Via Matakana And Pt Wells,Rural Township,07 - 17,06 - 15,North,Oct 2025,5.6
998,Wellsford To Warkworth,Rural Township,07 - 17,06 - 15,North,Oct 2025,8.7
999,Warkworth Loop,Local,,,North,Oct 2025,4.8
AIR,Airport Link Via Puhinui Station,Rapid,17 - 27,15 - 24,South,Oct 2025,15.1
CTY,Wynyard Quarter to Karangahape Rd via Queen St,Frequent,27 - 37,24 - 33,Central,Oct 2025,30.0
INN,Inner Link Anticlockwise,Frequent,27 - 37,24 - 33,Central,Oct 2025,25.1
N10,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",Night,,,South,Oct 2025,3.1
NX1,Albany Station To Britomart (Lower Albert St),Rapid,37 - 47,33 - 42,North,Oct 2025,78.0
NX2,Hibiscus Coast Station To Auckland Universities,Rapid,37 - 47,33 - 42,North,Oct 2025,59.1
OUT,St Lukes To Newmarket Via Wellesley St,Frequent,27 - 37,24 - 33,Central,Oct 2025,21.4
QODTAK,AT Local,On Demand,,,South,Oct 2025,3.0
TMK,Glen Innes To Britomart Via St Heliers And Tamaki Dr,Frequent,27 - 37,24 - 33,Central,Oct 2025,23.2
WX1,Northwest To City Centre Via Motorway,Rapid,17 - 27,15 - 24,West,Oct 2025,28.8
101,Pt Chevalier To Auckland University Via Jervois Rd,Peak,27 - 37,24 - 33,Central,Nov 2025,27.1
105,Westmere To Britomart Via Richmond Rd,Connector,17 - 27,15 - 24,Central,Nov 2025,26.0
106,Freemans Bay Loop,Connector,07 - 17,06 - 15,Central,Nov 2025,24.7
111,Royal Heights Loop,Local,07 - 17,06 - 15,West,Nov 2025,14.9
112,Hob Pt Wharf To Northwest Via W Harbour,Connector,07 - 17,06 - 15,West,Nov 2025,17.0
114,Hob Pt Wharf To Northwest Via Whenuapai,Local,07 - 17,06 - 15,West,Nov 2025,8.7
116,West Hills Loop,Local,07 - 17,06 - 15,West,Nov 2025,3.1
11T,Northwest To City Centre Via Triangle Rd,Frequent,17 - 27,15 - 24,West,Nov 2025,20.1
11W,Northwest To City Centre Via Waimumu Rd,Frequent,17 - 27,15 - 24,West,Nov 2025,17.6
12,Henderson to Constellation Station via Westgate,Frequent,17 - 27,15 - 24,West,Nov 2025,27.5
122,Huapai North To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Nov 2025,7.8
123,Huapai Triangle To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Nov 2025,7.8
125,Helensville To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Nov 2025,10.1
126,Albany To Westgate Via Riverhead,Rural Township,07 - 17,06 - 15,West,Nov 2025,14.8
128,Hibiscus Coast Station To Helensville,Rural Township,07 - 17,06 - 15,West,Nov 2025,5.6
13,Te Atatu Peninsula Loop To Henderson,Frequent,17 - 27,15 - 24,West,Nov 2025,22.5
135,Te Atatu (Totara Rd) To Henderson,Connector,07 - 17,06 - 15,West,Nov 2025,16.5
14,Lincoln Rd To New Lynn Via Henderson,Frequent,17 - 27,15 - 24,West,Nov 2025,28.0
143,Ranui to Henderson via Sturges Rd,Connector,07 - 17,06 - 15,West,Nov 2025,20.4
145,Lincoln Rd To Henderson Via Western H,Connector,07 - 17,06 - 15,West,Nov 2025,15.1
147,Waitakere Township To Henderson,Local,07 - 17,06 - 15,West,Nov 2025,15.2
148,Ranui To Lincoln Rd,Local,07 - 17,06 - 15,West,Nov 2025,4.6
149,Ranui To New Lynn Via Rosebank,Weekday Connector,17 - 27,15 - 24,West,Nov 2025,18.5
152,Henderson to New Lynn via Sunnyvale and Glen Eden,Local,07 - 17,06 - 15,West,Nov 2025,20.4
154,Henderson to New Lynn via Glen Eden,Connector,17 - 27,15 - 24,West,Nov 2025,26.0
161,Brains Park to New Lynn,Local,07 - 17,06 - 15,West,Nov 2025,23.0
162,Henderson to New Lynn via Glendene,Connector,17 - 27,15 - 24,West,Nov 2025,23.5
170,Titirangi South to New Lynn,Local,07 - 17,06 - 15,West,Nov 2025,12.7
171,Laingholm To New Lynn,Local,07 - 17,06 - 15,West,Nov 2025,16.7
172,Glen Eden to New Lynn via Titirangi,Connector,07 - 17,06 - 15,West,Nov 2025,22.5
18,New Lynn To City Centre Via Great North Rd,Frequent,27 - 37,24 - 33,Central,Nov 2025,29.7
186,South Lynn Loop,Connector,17 - 27,15 - 24,West,Nov 2025,35.7
191,Lynfield To New Lynn Via Blockhouse Bay And Avondale,Local,07 - 17,06 - 15,Central,Nov 2025,16.8
195,New Lynn To City Centre Via Green Bay,Connector,17 - 27,15 - 24,West,Nov 2025,23.9
20,St Lukes To Wynyard Quarter Via Kingsland,Frequent,17 - 27,15 - 24,Central,Nov 2025,22.5
209,Titirangi to City Centre via Green Bay and New North Rd,Peak,27 - 37,24 - 33,West,Nov 2025,33.4
22N,New Lynn To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Nov 2025,27.9
22R,Rosebank Rd To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Nov 2025,26.6
24B,New Lynn And Blockhouse Bay To City Centre Via Sandringham R,Frequent,27 - 37,24 - 33,Central,Nov 2025,25.4
24R,New Lynn To City Centre Via Sandingham Rd,Frequent,27 - 37,24 - 33,Central,Nov 2025,25.8
252,Lynfield To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Nov 2025,65.2
253,Blockhouse Bay To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Nov 2025,57.8
25B,Blockhouse Bay To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Nov 2025,32.0
25L,Lynfield To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Nov 2025,30.3
27H,Waikowhai To Britomart Via Hillsborough Rd And Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Nov 2025,36.3
27T,Three Kings To Britomart Via Mt Eden Rd,Peak,37 - 47,33 - 42,Central,Nov 2025,56.5
27W,Waikowhai To Britomart Via Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Nov 2025,40.0
295,Ellerslie Station To City Centre Via Royal Oak,Connector,17 - 27,15 - 24,Central,Nov 2025,16.9
