Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Month,Boardings,Period,min_target,max_target,Performance
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Jan 2026,12.5,After IKEA,6.0,15.0,Within target
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Feb 2026,20.8,After IKEA,6.0,15.0,Above target
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Feb 2026,19.0,After IKEA,15.0,24.0,Within target
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Feb 2026,19.1,After IKEA,15.0,24.0,Within target
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Feb 2026,26.3,After IKEA,15.0,24.0,Above target
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Feb 2026,20.0,After IKEA,15.0,24.0,Within target
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Feb 2026,20.7,After IKEA,6.0,15.0,Above target
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Mar 2026,21.0,After IKEA,6.0,15.0,Above target
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Mar 2026,18.2,After IKEA,15.0,24.0,Within target
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Mar 2026,19.6,After IKEA,15.0,24.0,Within target
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Mar 2026,28.6,After IKEA,15.0,24.0,Above target
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Mar 2026,20.1,After IKEA,15.0,24.0,Within target
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Mar 2026,21.1,After IKEA,6.0,15.0,Above target
