Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026
966,Beach Haven To Newmarket Via Ponsonby And Auckland Hospital,Weekday Connector,17 - 27,15 - 24,North,19.1,22.0,19.2,20.3,20.5,15.9,15.9,22.5,24.0
97B,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,30.7,33.2,30.6,31.9,32.1,26.6,24.0,34.3,36.5
97R,Beach Haven to Britomart (Lower Albert St),Frequent,27 - 37,24 - 33,North,27.8,29.4,27.3,29.1,30.4,25.4,22.8,31.2,33.0
981,Waiwera To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,17.1,20.5,19.1,20.1,21.0,16.5,16.2,24.3,24.7
982,Gulf Harbour To Hibiscus Coast Station,Connector,17 - 27,15 - 24,North,17.0,20.0,18.6,18.8,20.3,17.9,15.7,21.8,23.4
983,Gulf Harbour To Hibiscus Coast Station Via Vipond Rd,Local,07 - 17,06 - 15,North,10.5,11.9,12.0,12.2,12.9,11.8,11.2,13.8,14.1
984,Orewa To Hibiscus Coast Station Via Maygrove,Local,07 - 17,06 - 15,North,9.7,11.5,11.0,11.6,10.5,10.2,9.8,12.3,12.5
985,Orewa To Hibiscus Coast Station Via Millwater,Connector,07 - 17,06 - 15,North,19.6,23.3,22.0,23.2,23.1,19.1,17.4,25.8,26.9
986,Hibiscus Coast Station To Albany Station Via Dariy Flat,Local,07 - 17,06 - 15,North,12.2,14.1,12.7,12.5,11.1,8.8,8.1,14.8,15.1
988,Gulf Harbour Ferry To The Plaza Via Army Bay,Local,07 - 17,06 - 15,North,5.5,5.7,6.4,6.4,8.6,7.3,6.6,8.1,7.3
989,Hibiscus Coast Station To Milldale Loop,Connector,07 - 17,06 - 15,North,17.4,21.2,19.1,21.2,22.1,13.0,12.2,26.1,26.8
995,Warkworth To Hibiscus Coast Station,Rural Township,07 - 17,06 - 15,North,8.6,9.8,9.3,9.2,9.7,9.4,8.1,10.2,12.1
